769 pairs total, 769 to do, 6 workers
[1/769] i=0 rc=0 0.5s {"i": 0, "pair": "acl__2.2.52__2.2.53", "libs": 1, "err": false}
[2/769] i=1 rc=0 0.5s {"i": 1, "pair": "acl__2.2.53__2.3.1", "libs": 1, "err": false}
[3/769] i=2 rc=0 0.5s {"i": 2, "pair": "acl__2.3.1__2.3.2", "libs": 1, "err": false}
[4/769] i=3 rc=0 0.5s {"i": 3, "pair": "acl__2.3.2__2.4.0", "libs": 1, "err": false}
[5/769] i=4 rc=0 0.5s {"i": 4, "pair": "bzip2__1.0.6__1.0.8", "libs": 1, "err": false}
[6/769] i=10 rc=0 0.5s {"i": 10, "pair": "attr__2.4.47__2.4.48", "libs": 1, "err": false}
[7/769] i=5 rc=0 1.5s {"i": 5, "pair": "pam__1.1.8__1.3.1", "libs": 43, "err": false}
[8/769] i=11 rc=0 0.5s {"i": 11, "pair": "attr__2.4.48__2.5.1", "libs": 1, "err": false}
[9/769] i=12 rc=0 0.5s {"i": 12, "pair": "attr__2.5.1__2.5.2", "libs": 1, "err": false}
[10/769] i=13 rc=0 0.5s {"i": 13, "pair": "attr__2.5.2__2.6.0", "libs": 1, "err": false}
[11/769] i=6 rc=0 1.7s {"i": 6, "pair": "pam__1.3.1__1.4.0", "libs": 41, "err": false}
[12/769] i=9 rc=0 1.9s {"i": 9, "pair": "pam__1.5.3__1.7.0", "libs": 43, "err": false}
[13/769] i=7 rc=0 2.0s {"i": 7, "pair": "pam__1.4.0__1.5.2", "libs": 44, "err": false}
[14/769] i=8 rc=0 2.0s {"i": 8, "pair": "pam__1.5.2__1.5.3", "libs": 43, "err": false}
[15/769] i=16 rc=0 0.5s {"i": 16, "pair": "gcc-16__16-20260307__16-20260308", "libs": 0, "err": true}
[16/769] i=17 rc=0 0.5s {"i": 17, "pair": "gcc-16__16-20260308__16-20260315", "libs": 0, "err": true}
[17/769] i=14 rc=0 40.3s {"i": 14, "pair": "gcc-16__16-20260217__16-20260226", "libs": 1, "err": false}
[18/769] i=18 rc=0 39.9s {"i": 18, "pair": "gcc-16__16-20260315__16-20260322", "libs": 1, "err": false}
[19/769] i=15 rc=0 40.5s {"i": 15, "pair": "gcc-16__16-20260226__16-20260307", "libs": 1, "err": false}
[20/769] i=23 rc=0 0.8s {"i": 23, "pair": "util-linux__2.40.3__2.40.4", "libs": 1, "err": false}
[21/769] i=24 rc=0 0.8s {"i": 24, "pair": "util-linux__2.40.4__2.41", "libs": 1, "err": false}
[22/769] i=25 rc=0 0.8s {"i": 25, "pair": "util-linux__2.41__2.41.1", "libs": 1, "err": false}
[23/769] i=19 rc=0 41.4s {"i": 19, "pair": "gcc-16__16-20260322__16-20260423", "libs": 1, "err": false}
[24/769] i=26 rc=0 0.7s {"i": 26, "pair": "util-linux__2.41.1__2.41.2", "libs": 1, "err": false}
[25/769] i=27 rc=0 0.8s {"i": 27, "pair": "util-linux__2.41.2__2.41.3", "libs": 1, "err": false}
[26/769] i=28 rc=0 0.8s {"i": 28, "pair": "util-linux__2.41.3__2.41.5", "libs": 1, "err": false}
[27/769] i=29 rc=0 0.8s {"i": 29, "pair": "util-linux__2.41.5__2.42", "libs": 1, "err": false}
[28/769] i=32 rc=0 0.7s {"i": 32, "pair": "libselinux__3.2__3.3", "libs": 1, "err": false}
[29/769] i=30 rc=0 1.1s {"i": 30, "pair": "util-linux__2.42__2.42.1", "libs": 1, "err": false}
[30/769] i=33 rc=0 0.5s {"i": 33, "pair": "libselinux__3.3__3.4", "libs": 0, "err": true}
[31/769] i=31 rc=0 1.5s {"i": 31, "pair": "util-linux__2.42.1__2.42.2", "libs": 1, "err": false}
[32/769] i=34 rc=0 0.5s {"i": 34, "pair": "libselinux__3.4__3.5", "libs": 0, "err": true}
[33/769] i=20 rc=0 43.7s {"i": 20, "pair": "gcc-16__16-20260423__16-20260425", "libs": 1, "err": false}
[34/769] i=21 rc=0 43.8s {"i": 21, "pair": "gcc-16__16-20260425__16.1.0", "libs": 1, "err": false}
[35/769] i=35 rc=0 0.8s {"i": 35, "pair": "libselinux__3.5__3.7", "libs": 1, "err": false}
