811 pairs total, 811 to do, 6 workers
[54/811] i=55 rc=0 1.1s {"i": 55, "pair": "libcap2__2.36__2.42", "libs": 1, "err": false}
[55/811] i=54 rc=0 1.5s {"i": 54, "pair": "keyutils__1.6.1__1.6.3", "libs": 1, "err": false}
[56/811] i=56 rc=0 1.2s {"i": 56, "pair": "libcap2__2.42__2.43", "libs": 1, "err": false}
[57/811] i=57 rc=0 1.2s {"i": 57, "pair": "libcap2__2.43__2.44", "libs": 1, "err": false}
[58/811] i=58 rc=0 1.1s {"i": 58, "pair": "libcap2__2.44__2.63", "libs": 1, "err": false}
[59/811] i=59 rc=0 1.2s {"i": 59, "pair": "libcap2__2.63__2.66", "libs": 2, "err": false}
[60/811] i=60 rc=0 1.2s {"i": 60, "pair": "libcap2__2.66__2.73", "libs": 2, "err": false}
[61/811] i=61 rc=0 1.3s {"i": 61, "pair": "libcap2__2.73__2.75", "libs": 2, "err": false}
[62/811] i=62 rc=0 1.3s {"i": 62, "pair": "libcap2__2.75__2.77", "libs": 2, "err": false}
[63/811] i=63 rc=0 1.8s {"i": 63, "pair": "libcap2__2.77__2.78", "libs": 2, "err": false}
[64/811] i=64 rc=0 1.7s {"i": 64, "pair": "e2fsprogs__1.46.1__1.46.2", "libs": 1, "err": false}
[65/811] i=65 rc=0 1.7s {"i": 65, "pair": "e2fsprogs__1.46.2__1.46.3", "libs": 1, "err": false}
[66/811] i=66 rc=0 1.9s {"i": 66, "pair": "e2fsprogs__1.46.3__1.46.4", "libs": 1, "err": false}
[67/811] i=67 rc=0 2.3s {"i": 67, "pair": "e2fsprogs__1.46.4__1.46.5", "libs": 1, "err": false}
[68/811] i=68 rc=0 1.8s {"i": 68, "pair": "e2fsprogs__1.46.5__1.46.6", "libs": 1, "err": false}
[69/811] i=69 rc=0 1.6s {"i": 69, "pair": "e2fsprogs__1.46.6__1.47.0", "libs": 1, "err": false}
[70/811] i=70 rc=0 1.8s {"i": 70, "pair": "e2fsprogs__1.47.0__1.47.1", "libs": 1, "err": false}
[71/811] i=71 rc=0 2.4s {"i": 71, "pair": "e2fsprogs__1.47.1__1.47.2", "libs": 1, "err": false}
[72/811] i=73 rc=0 1.9s {"i": 73, "pair": "slang2__2.3.0__2.3.1", "libs": 1, "err": false}
[73/811] i=74 rc=0 1.9s {"i": 74, "pair": "slang2__2.3.1__2.3.1a", "libs": 1, "err": false}
[74/811] i=72 rc=0 2.9s {"i": 72, "pair": "e2fsprogs__1.47.2__1.47.4", "libs": 1, "err": false}
[75/811] i=75 rc=0 2.5s {"i": 75, "pair": "slang2__2.3.1a__2.3.2", "libs": 1, "err": false}
[76/811] i=77 rc=0 1.1s {"i": 77, "pair": "libbsd__0.11.2__0.11.3", "libs": 1, "err": false}
[77/811] i=76 rc=0 2.4s {"i": 76, "pair": "slang2__2.3.2__2.3.3", "libs": 1, "err": false}
[78/811] i=78 rc=0 1.8s {"i": 78, "pair": "libbsd__0.11.3__0.11.4", "libs": 1, "err": false}
[79/811] i=79 rc=0 1.3s {"i": 79, "pair": "libbsd__0.11.4__0.11.5", "libs": 1, "err": false}
[80/811] i=80 rc=0 1.4s {"i": 80, "pair": "libbsd__0.11.5__0.11.6", "libs": 1, "err": false}
[81/811] i=83 rc=0 1.4s {"i": 83, "pair": "libbsd__0.11.8__0.12.0", "libs": 1, "err": false}
[82/811] i=81 rc=0 2.2s {"i": 81, "pair": "libbsd__0.11.6__0.11.7", "libs": 1, "err": false}
[83/811] i=82 rc=0 1.5s {"i": 82, "pair": "libbsd__0.11.7__0.11.8", "libs": 1, "err": false}
[84/811] i=84 rc=0 1.2s {"i": 84, "pair": "libbsd__0.12.0__0.12.1", "libs": 1, "err": false}
[85/811] i=85 rc=0 1.8s {"i": 85, "pair": "libbsd__0.12.1__0.12.2", "libs": 1, "err": false}
[86/811] i=87 rc=0 1.5s {"i": 87, "pair": "lvm2__2.03.07__2.03.09", "libs": 1, "err": false}
[87/811] i=86 rc=0 1.5s {"i": 86, "pair": "lvm2__2.03.02__2.03.07", "libs": 1, "err": false}
[88/811] i=88 rc=0 1.5s {"i": 88, "pair": "lvm2__2.03.09__2.03.10", "libs": 1, "err": false}
[89/811] i=89 rc=0 2.3s {"i": 89, "pair": "lvm2__2.03.10__2.03.11", "libs": 1, "err": false}
[90/811] i=90 rc=0 2.3s {"i": 90, "pair": "lvm2__2.03.11__2.03.15", "libs": 1, "err": false}
[91/811] i=91 rc=0 1.7s {"i": 91, "pair": "lvm2__2.03.15__2.03.16", "libs": 1, "err": false}
[92/811] i=92 rc=0 1.8s {"i": 92, "pair": "lvm2__2.03.16__2.03.22", "libs": 1, "err": false}
[93/811] i=93 rc=0 2.5s {"i": 93, "pair": "lvm2__2.03.22__2.03.27", "libs": 1, "err": false}
[94/811] i=94 rc=0 2.8s {"i": 94, "pair": "lvm2__2.03.27__2.03.31", "libs": 1, "err": false}
[95/811] i=99 rc=0 0.3s {"i": 99, "pair": "sqlite3__3.45.3__3.46.0", "libs": 0, "err": true}
[96/811] i=96 rc=0 6.1s {"i": 96, "pair": "sqlite3__3.45.0__3.45.1", "libs": 1, "err": false}
[97/811] i=98 rc=0 6.8s {"i": 98, "pair": "sqlite3__3.45.2__3.45.3", "libs": 1, "err": false}
[98/811] i=22 rc=0 45.0s {"i": 22, "pair": "gcc-16__16.1.0__16.2.0", "libs": 1, "err": false}
[99/811] i=95 rc=0 20.0s {"i": 95, "pair": "sqlite3__3.44.2__3.45.0", "libs": 1, "err": false}
[100/811] i=97 rc=0 20.1s {"i": 97, "pair": "sqlite3__3.45.1__3.45.2", "libs": 1, "err": false}
[101/811] i=104 rc=0 1.4s {"i": 104, "pair": "expat__2.7.1__2.7.2", "libs": 2, "err": false}
[102/811] i=105 rc=0 1.6s {"i": 105, "pair": "expat__2.7.2__2.7.3", "libs": 2, "err": false}
[103/811] i=106 rc=0 1.3s {"i": 106, "pair": "expat__2.7.3__2.7.4", "libs": 2, "err": false}
[104/811] i=100 rc=0 20.8s {"i": 100, "pair": "sqlite3__3.46.0__3.46.1", "libs": 1, "err": false}
[105/811] i=103 rc=0 6.2s {"i": 103, "pair": "sqlite3__3.53.3__3.53.4", "libs": 1, "err": false}
[106/811] i=107 rc=0 1.3s {"i": 107, "pair": "expat__2.7.4__2.7.5", "libs": 2, "err": false}
[107/811] i=108 rc=0 1.4s {"i": 108, "pair": "expat__2.7.5__2.8.0", "libs": 2, "err": false}
[108/811] i=109 rc=0 1.2s {"i": 109, "pair": "expat__2.8.0__2.8.1", "libs": 2, "err": false}
[109/811] i=110 rc=0 1.7s {"i": 110, "pair": "expat__2.8.1__2.8.2", "libs": 2, "err": false}
[110/811] i=111 rc=0 2.2s {"i": 111, "pair": "expat__2.8.2__2.8.3", "libs": 2, "err": false}
[111/811] i=112 rc=0 1.8s {"i": 112, "pair": "expat__2.8.3__2.8.4", "libs": 2, "err": false}
[112/811] i=113 rc=0 1.7s {"i": 113, "pair": "newt__0.52.18__0.52.19", "libs": 1, "err": false}
[113/811] i=114 rc=0 1.7s {"i": 114, "pair": "newt__0.52.19__0.52.20", "libs": 1, "err": false}
[114/811] i=115 rc=0 1.8s {"i": 115, "pair": "newt__0.52.20__0.52.21", "libs": 1, "err": false}
[115/811] i=116 rc=0 1.3s {"i": 116, "pair": "newt__0.52.21__0.52.22", "libs": 1, "err": false}
[116/811] i=117 rc=0 1.5s {"i": 117, "pair": "newt__0.52.22__0.52.23", "libs": 1, "err": false}
[117/811] i=101 rc=0 21.6s {"i": 101, "pair": "sqlite3__3.46.1__3.53.2", "libs": 1, "err": false}
[118/811] i=102 rc=0 20.2s {"i": 102, "pair": "sqlite3__3.53.2__3.53.3", "libs": 1, "err": false}
[119/811] i=118 rc=0 1.8s {"i": 118, "pair": "newt__0.52.23__0.52.24", "libs": 1, "err": false}
[120/811] i=119 rc=0 2.2s {"i": 119, "pair": "newt__0.52.24__0.52.25", "libs": 1, "err": false}
[121/811] i=121 rc=0 2.2s {"i": 121, "pair": "freetype__2.12.0+dfsg__2.12.1+dfsg", "libs": 1, "err": false}
[122/811] i=122 rc=0 2.1s {"i": 122, "pair": "freetype__2.12.1+dfsg__2.13.0+dfsg", "libs": 1, "err": false}
[123/811] i=120 rc=0 2.8s {"i": 120, "pair": "freetype__2.11.1+dfsg__2.12.0+dfsg", "libs": 1, "err": false}
[124/811] i=123 rc=0 2.7s {"i": 123, "pair": "freetype__2.13.0+dfsg__2.13.1+dfsg", "libs": 1, "err": false}
[125/811] i=124 rc=0 2.7s {"i": 124, "pair": "freetype__2.13.1+dfsg__2.13.2+dfsg", "libs": 1, "err": false}
[126/811] i=129 rc=0 1.5s {"i": 129, "pair": "klibc__2.0.5__2.0.6", "libs": 0, "err": false}
[127/811] i=125 rc=0 2.8s {"i": 125, "pair": "freetype__2.13.2+dfsg__2.13.3+dfsg", "libs": 1, "err": false}
[128/811] i=126 rc=0 2.5s {"i": 126, "pair": "freetype__2.13.3+dfsg__2.14.1+dfsg", "libs": 1, "err": false}
[129/811] i=127 rc=0 2.6s {"i": 127, "pair": "freetype__2.14.1+dfsg__2.14.2+dfsg", "libs": 1, "err": false}
[130/811] i=128 rc=0 2.8s {"i": 128, "pair": "freetype__2.14.2+dfsg__2.14.3+dfsg", "libs": 1, "err": false}
[131/811] i=130 rc=0 2.0s {"i": 130, "pair": "klibc__2.0.6__2.0.7", "libs": 0, "err": false}
[132/811] i=131 rc=0 1.1s {"i": 131, "pair": "klibc__2.0.7__2.0.8", "libs": 0, "err": false}
[133/811] i=132 rc=0 1.3s {"i": 132, "pair": "klibc__2.0.8__2.0.9", "libs": 0, "err": false}
[134/811] i=133 rc=0 1.3s {"i": 133, "pair": "klibc__2.0.9__2.0.10", "libs": 1, "err": false}
[135/811] i=134 rc=0 1.3s {"i": 134, "pair": "klibc__2.0.10__2.0.11", "libs": 0, "err": false}
[136/811] i=135 rc=0 1.1s {"i": 135, "pair": "klibc__2.0.11__2.0.12", "libs": 1, "err": false}
[137/811] i=136 rc=0 1.1s {"i": 136, "pair": "klibc__2.0.12__2.0.13", "libs": 0, "err": false}
[138/811] i=138 rc=0 1.5s {"i": 138, "pair": "xz-utils__5.6.0__5.6.1", "libs": 1, "err": false}
[139/811] i=139 rc=0 1.5s {"i": 139, "pair": "xz-utils__5.6.1__5.6.1+really5.4.5", "libs": 1, "err": false}
[140/811] i=140 rc=0 1.3s {"i": 140, "pair": "xz-utils__5.6.1+really5.4.5__5.6.2", "libs": 1, "err": false}
[141/811] i=137 rc=0 2.1s {"i": 137, "pair": "klibc__2.0.13__2.0.14", "libs": 0, "err": false}
[142/811] i=141 rc=0 1.5s {"i": 141, "pair": "xz-utils__5.6.2__5.6.3", "libs": 1, "err": false}
[143/811] i=142 rc=0 1.9s {"i": 142, "pair": "xz-utils__5.6.3__5.6.4", "libs": 1, "err": false}
[144/811] i=143 rc=0 1.5s {"i": 143, "pair": "xz-utils__5.6.4__5.8.0", "libs": 1, "err": false}
[145/811] i=144 rc=0 1.5s {"i": 144, "pair": "xz-utils__5.8.0__5.8.1", "libs": 1, "err": false}
[146/811] i=145 rc=0 1.8s {"i": 145, "pair": "xz-utils__5.8.1__5.8.2", "libs": 1, "err": false}
